mode,map,team,player,kills,deaths,hill time,damage,first blood,major  ,type,opponent,score,map number,W/L,rounds,,series k/d,hardpoint k/d,search & destroy k/d,control k/d,total kills,total deaths,all hardpoint k/d,all search & destroy k/d,all control k/d,overall k/d
Hardpoint,Vault,Optic Texas,Shotzzy,26,11,88,2716,,Major 1,Online,Cloud9 New York,250-130,1,W,,,1.87,2.36,,,673,534,1.32,1.14,1.20,1.26
Search & Destroy,Red Card,Cloud9 New York,Attach,7,8,,1216,1,Major 1,Online,Optic Texas,3-6,2,L,9,,0.82,,0.88,,467,546,0.80,1.03,0.90,0.86
Search & Destroy,Red Card,Cloud9 New York,Kremp,4,8,,570,3,Major 1,Online,Optic Texas,3-6,2,L,9,,0.77,,0.50,,535,552,0.97,1.00,0.95,0.97
Search & Destroy,Red Card,Cloud9 New York,Mack,5,7,,493,2,Major 1,Online,Optic Texas,3-6,2,L,9,,0.83,,0.71,,554,560,1.06,1.00,0.85,0.99
Search & Destroy,Red Card,Cloud9 New York,Sib,8,8,,969,0,Major 1,Online,Optic Texas,3-6,2,L,9,,0.77,,1.00,,467,564,0.81,0.88,0.85,0.83
Search & Destroy,Red Card,Optic Texas,Dashy,9,5,,1123,1,Major 1,Online,Cloud9 New York,6-3,2,W,9,,1.10,,1.80,,621,557,1.12,1.21,1.07,1.11
Search & Destroy,Red Card,Optic Texas,Kenny,7,5,,934,0,Major 1,Online,Cloud9 New York,6-3,2,W,9,,0.95,,1.40,,546,602,0.94,0.79,0.90,0.91
Search & Destroy,Red Card,Optic Texas,Pred,4,7,,512,0,Major 1,Online,Cloud9 New York,6-3,2,W,9,,1.26,,0.57,,165,141,1.25,0.90,1.17,1.17
Search & Destroy,Red Card,Optic Texas,Shotzzy,11,7,,1084,2,Major 1,Online,Cloud9 New York,6-3,2,W,9,,1.87,,1.57,,673,534,1.32,1.14,1.20,1.26
Control,Vault,Cloud9 New York,Attach,21,24,,2809,,Major 1,Online,Optic Texas,1-3,3,L,4,,0.82,,,0.88,467,546,0.80,1.03,0.90,0.86
Control,Vault,Cloud9 New York,Kremp,22,24,,2945,,Major 1,Online,Optic Texas,1-3,3,L,4,,0.77,,,0.92,535,552,0.97,1.00,0.95,0.97
Control,Vault,Cloud9 New York,Mack,29,30,,3808,,Major 1,Online,Optic Texas,1-3,3,L,4,,0.83,,,0.97,554,560,1.06,1.00,0.85,0.99
Control,Vault,Cloud9 New York,Sib,23,33,,3281,,Major 1,Online,Optic Texas,1-3,3,L,4,,0.77,,,0.70,467,564,0.81,0.88,0.85,0.83
Control,Vault,Optic Texas,Dashy,20,21,,3213,,Major 1,Online,Cloud9 New York,3-1,3,W,4,,1.10,,,0.95,621,557,1.12,1.21,1.07,1.11
Control,Vault,Optic Texas,Kenny,21,30,,2605,,Major 1,Online,Cloud9 New York,3-1,3,W,4,,0.95,,,0.70,546,602,0.94,0.79,0.90,0.91
Control,Vault,Optic Texas,Pred,36,24,,3616,,Major 1,Online,Cloud9 New York,3-1,3,W,4,,1.26,,,1.50,165,141,1.25,0.90,1.17,1.17
Control,Vault,Optic Texas,Shotzzy,34,20,,3306,,Major 1,Online,Cloud9 New York,3-1,3,W,4,,1.87,,,1.70,673,534,1.32,1.14,1.20,1.26
Hardpoint,Rewind,Miami Heretics,Lucky,21,26,96,3040,,Major 1,Online,Vancouver Surge,250-189,1,W,,,0.65,0.81,,,521,564,0.89,0.89,1.04,0.92
Hardpoint,Rewind,Miami Heretics,MettalZ,20,26,76,3300,,Major 1,Online,Vancouver Surge,250-189,1,W,,,0.82,0.77,,,557,595,0.92,0.80,1.05,0.94
Hardpoint,Rewind,Miami Heretics,Reeal,40,21,51,3916,,Major 1,Online,Vancouver Surge,250-189,1,W,,,1.50,1.90,,,591,564,1.05,1.07,1.02,1.05
Hardpoint,Rewind,Miami Heretics,Renkor,29,27,54,3571,,Major 1,Online,Vancouver Surge,250-189,1,W,,,1.23,1.07,,,587,584,1.05,0.92,0.95,1.01
Hardpoint,Rewind,Vancouver Surge,04,26,26,45,3464,,Major 1,Online,Miami Heretics,189-250,1,L,,,1.11,1.00,,,659,643,1.00,1.05,1.08,1.02
Hardpoint,Rewind,Vancouver Surge,Abuzah,25,27,47,3208,,Major 1,Online,Miami Heretics,189-250,1,L,,,0.99,0.93,,,607,639,0.94,0.73,1.13,0.95
Hardpoint,Rewind,Vancouver Surge,Hicksy,27,32,45,3917,,Major 1,Online,Miami Heretics,189-250,1,L,,,0.84,0.84,,,573,670,0.80,1.05,0.90,0.86
Hardpoint,Rewind,Vancouver Surge,Nastie,22,25,91,2445,,Major 1,Online,Miami Heretics,189-250,1,L,,,0.93,0.88,,,600,610,0.96,1.09,1.00,0.98
Search & Destroy,Rewind,Miami Heretics,Lucky,7,7,,1250,2,Major 1,Online,Vancouver Surge,4-6,2,L,10,,0.65,,1.00,,521,564,0.89,0.89,1.04,0.92
Search & Destroy,Rewind,Miami Heretics,MettalZ,2,8,,551,0,Major 1,Online,Vancouver Surge,4-6,2,L,10,,0.82,,0.25,,557,595,0.92,0.80,1.05,0.94
Search & Destroy,Rewind,Miami Heretics,Reeal,10,6,,1164,2,Major 1,Online,Vancouver Surge,4-6,2,L,10,,1.50,,1.67,,591,564,1.05,1.07,1.02,1.05
Search & Destroy,Rewind,Miami Heretics,Renkor,6,8,,1084,1,Major 1,Online,Vancouver Surge,4-6,2,L,10,,1.23,,0.75,,587,584,1.05,0.92,0.95,1.01
Search & Destroy,Rewind,Vancouver Surge,04,11,6,,1257,1,Major 1,Online,Miami Heretics,6-4,2,W,10,,1.11,,1.83,,659,643,1.00,1.05,1.08,1.02
Search & Destroy,Rewind,Vancouver Surge,Abuzah,5,8,,692,1,Major 1,Online,Miami Heretics,6-4,2,W,10,,0.99,,0.63,,607,639,0.94,0.73,1.13,0.95
Search & Destroy,Rewind,Vancouver Surge,Hicksy,6,6,,696,2,Major 1,Online,Miami Heretics,6-4,2,W,10,,0.84,,1.00,,573,670,0.80,1.05,0.90,0.86
Search & Destroy,Rewind,Vancouver Surge,Nastie,6,5,,1264,1,Major 1,Online,Miami Heretics,6-4,2,W,10,,0.93,,1.20,,600,610,0.96,1.09,1.00,0.98
Control,Vault,Miami Heretics,Lucky,11,11,,1425,,Major 1,Online,Vancouver Surge,3-0,3,W,3,,0.65,,,1.00,521,564,0.89,0.89,1.04,0.92
Control,Vault,Miami Heretics,MettalZ,15,13,,1747,,Major 1,Online,Vancouver Surge,3-0,3,W,3,,0.82,,,1.15,557,595,0.92,0.80,1.05,0.94
Control,Vault,Miami Heretics,Reeal,17,10,,2079,,Major 1,Online,Vancouver Surge,3-0,3,W,3,,1.50,,,1.70,591,564,1.05,1.07,1.02,1.05
Control,Vault,Miami Heretics,Renkor,20,12,,2363,,Major 1,Online,Vancouver Surge,3-0,3,W,3,,1.23,,,1.67,587,584,1.05,0.92,0.95,1.01
Control,Vault,Vancouver Surge,04,11,15,,1430,,Major 1,Online,Miami Heretics,0-3,3,L,3,,1.11,,,0.73,659,643,1.00,1.05,1.08,1.02
Control,Vault,Vancouver Surge,Abuzah,9,16,,1512,,Major 1,Online,Miami Heretics,0-3,3,L,3,,0.99,,,0.56,607,639,0.94,0.73,1.13,0.95
Control,Vault,Vancouver Surge,Hicksy,14,15,,1742,,Major 1,Online,Miami Heretics,0-3,3,L,3,,0.84,,,0.93,573,670,0.80,1.05,0.90,0.86
Control,Vault,Vancouver Surge,Nastie,11,17,,1458,,Major 1,Online,Miami Heretics,0-3,3,L,3,,0.93,,,0.65,600,610,0.96,1.09,1.00,0.98
Hardpoint,Protocol,Miami Heretics,Lucky,10,30,79,2241,,Major 1,Online,Vancouver Surge,222-250,4,L,,,0.65,0.33,,,521,564,0.89,0.89,1.04,0.92
Hardpoint,Protocol,Miami Heretics,MettalZ,23,28,65,2930,,Major 1,Online,Vancouver Surge,222-250,4,L,,,0.82,0.82,,,557,595,0.92,0.80,1.05,0.94
Hardpoint,Protocol,Miami Heretics,Reeal,32,27,61,3964,,Major 1,Online,Vancouver Surge,222-250,4,L,,,1.50,1.19,,,591,564,1.05,1.07,1.02,1.05
Hardpoint,Protocol,Miami Heretics,Renkor,31,27,35,3877,,Major 1,Online,Vancouver Surge,222-250,4,L,,,1.23,1.15,,,587,584,1.05,0.92,0.95,1.01
Hardpoint,Protocol,Vancouver Surge,04,28,21,45,3770,,Major 1,Online,Miami Heretics,250-222,4,W,,,1.11,1.33,,,659,643,1.00,1.05,1.08,1.02
Hardpoint,Protocol,Vancouver Surge,Abuzah,34,22,79,4449,,Major 1,Online,Miami Heretics,250-222,4,W,,,0.99,1.55,,,607,639,0.94,0.73,1.13,0.95
Hardpoint,Protocol,Vancouver Surge,Hicksy,22,26,71,2620,,Major 1,Online,Miami Heretics,250-222,4,W,,,0.84,0.85,,,573,670,0.80,1.05,0.90,0.86
Hardpoint,Protocol,Vancouver Surge,Nastie,28,27,104,3395,,Major 1,Online,Miami Heretics,250-222,4,W,,,0.93,1.04,,,600,610,0.96,1.09,1.00,0.98
Search & Destroy,Red Card,Miami Heretics,Lucky,3,6,,335,0,Major 1,Online,Vancouver Surge,5-6,5,L,11,,0.65,,0.50,,521,564,0.89,0.89,1.04,0.92
Search & Destroy,Red Card,Miami Heretics,MettalZ,7,7,,1461,1,Major 1,Online,Vancouver Surge,5-6,5,L,11,,0.82,,1.00,,557,595,0.92,0.80,1.05,0.94
Search & Destroy,Red Card,Miami Heretics,Reeal,9,8,,117,4,Major 1,Online,Vancouver Surge,5-6,5,L,11,,1.50,,1.13,,591,564,1.05,1.07,1.02,1.05
Search & Destroy,Red Card,Miami Heretics,Renkor,12,6,,1612,1,Major 1,Online,Vancouver Surge,5-6,5,L,11,,1.23,,2.00,,587,584,1.05,0.92,0.95,1.01
Search & Destroy,Red Card,Vancouver Surge,04,8,8,,1233,1,Major 1,Online,Miami Heretics,6-5,5,W,11,,1.11,,1.00,,659,643,1.00,1.05,1.08,1.02
Search & Destroy,Red Card,Vancouver Surge,Abuzah,6,7,,1217,0,Major 1,Online,Miami Heretics,6-5,5,W,11,,0.99,,0.86,,607,639,0.94,0.73,1.13,0.95
Search & Destroy,Red Card,Vancouver Surge,Hicksy,5,9,,980,1,Major 1,Online,Miami Heretics,6-5,5,W,11,,0.84,,0.56,,573,670,0.80,1.05,0.90,0.86
Search & Destroy,Red Card,Vancouver Surge,Nastie,8,7,,1214,3,Major 1,Online,Miami Heretics,6-5,5,W,11,,0.93,,1.14,,600,610,0.96,1.09,1.00,0.98
Hardpoint,Vault,LA Guerillas M8,Kismet,37,31,89,3849,,Major 1,Online,Carolina Royal Ravens,161-250,1,L,,,1.00,1.19,,,619,576,0.99,1.03,1.27,1.07
Hardpoint,Vault,LA Guerillas M8,Lynz,26,31,29,3473,,Major 1,Online,Carolina Royal Ravens,161-250,1,L,,,0.92,0.84,,,605,577,1.07,1.00,1.02,1.05
Hardpoint,Vault,LA Guerillas M8,Priestahh,18,30,18,2964,,Major 1,Online,Carolina Royal Ravens,161-250,1,L,,,0.82,0.60,,,520,538,0.99,0.83,0.96,0.97
Hardpoint,Vault,LA Guerillas M8,Skyz,21,33,36,3246,,Major 1,Online,Carolina Royal Ravens,161-250,1,L,,,0.77,0.64,,,514,518,0.97,0.91,1.06,0.99
Hardpoint,Vault,Carolina Royal Ravens,Gwinn,31,27,92,4181,,Major 1,Online,LA Guerillas M8,250-161,1,W,,,1.39,1.15,,,645,533,1.28,1.08,1.13,1.21
Hardpoint,Vault,Carolina Royal Ravens,Slasher,38,23,73,4166,,Major 1,Online,LA Guerillas M8,250-161,1,W,,,1.20,1.65,,,552,531,1.11,1.05,0.90,1.04
Hardpoint,Vault,Carolina Royal Ravens,TJHaly,26,28,69,3136,,Major 1,Online,LA Guerillas M8,250-161,1,W,,,0.96,0.93,,,599,562,1.01,1.19,1.14,1.07
Hardpoint,Vault,Carolina Royal Ravens,Vivid,30,24,52,4586,,Major 1,Online,LA Guerillas M8,250-161,1,W,,,1.01,1.25,,,530,557,1.03,0.65,0.94,0.95
Search & Destroy,Rewind,LA Guerillas M8,Kismet,4,7,,392,2,Major 1,Online,Carolina Royal Ravens,2-6,2,L,8,,1.00,,0.57,,619,576,0.99,1.03,1.27,1.07
Search & Destroy,Rewind,LA Guerillas M8,Lynz,5,5,,472,1,Major 1,Online,Carolina Royal Ravens,2-6,2,L,8,,0.92,,1.00,,605,577,1.07,1.00,1.02,1.05
Search & Destroy,Rewind,LA Guerillas M8,Priestahh,8,6,,996,2,Major 1,Online,Carolina Royal Ravens,2-6,2,L,8,,0.82,,1.33,,520,538,0.99,0.83,0.96,0.97
Search & Destroy,Rewind,LA Guerillas M8,Skyz,5,6,,809,1,Major 1,Online,Carolina Royal Ravens,2-6,2,L,8,,0.77,,0.83,,514,518,0.97,0.91,1.06,0.99
Search & Destroy,Rewind,Carolina Royal Ravens,Gwinn,9,4,,1147,0,Major 1,Online,LA Guerillas M8,6-2,2,W,8,,1.39,,2.25,,645,533,1.28,1.08,1.13,1.21
Search & Destroy,Rewind,Carolina Royal Ravens,Slasher,6,6,,866,1,Major 1,Online,LA Guerillas M8,6-2,2,W,8,,1.20,,1.00,,552,531,1.11,1.05,0.90,1.04
Search & Destroy,Rewind,Carolina Royal Ravens,TJHaly,8,5,,1380,1,Major 1,Online,LA Guerillas M8,6-2,2,W,8,,0.96,,1.60,,599,562,1.01,1.19,1.14,1.07
Search & Destroy,Rewind,Carolina Royal Ravens,Vivid,1,7,,534,0,Major 1,Online,LA Guerillas M8,6-2,2,W,8,,1.01,,0.14,,530,557,1.03,0.65,0.94,0.95
Control,Vault,LA Guerillas M8,Kismet,27,20,,3258,,Major 1,Online,Carolina Royal Ravens,3-1,3,W,4,,1.00,,,1.35,619,576,0.99,1.03,1.27,1.07
Control,Vault,LA Guerillas M8,Lynz,27,22,,3446,,Major 1,Online,Carolina Royal Ravens,3-1,3,W,4,,0.92,,,1.23,605,577,1.07,1.00,1.02,1.05
Control,Vault,LA Guerillas M8,Priestahh,22,19,,2744,,Major 1,Online,Carolina Royal Ravens,3-1,3,W,4,,0.82,,,1.16,520,538,0.99,0.83,0.96,0.97
Control,Vault,LA Guerillas M8,Skyz,18,17,,2682,,Major 1,Online,Carolina Royal Ravens,3-1,3,W,4,,0.77,,,1.06,514,518,0.97,0.91,1.06,0.99
Control,Vault,Carolina Royal Ravens,Gwinn,22,22,,2593,,Major 1,Online,LA Guerillas M8,1-3,3,L,4,,1.39,,,1.00,645,533,1.28,1.08,1.13,1.21
Control,Vault,Carolina Royal Ravens,Slasher,18,25,,2755,,Major 1,Online,LA Guerillas M8,1-3,3,L,4,,1.20,,,0.72,552,531,1.11,1.05,0.90,1.04
Control,Vault,Carolina Royal Ravens,TJHaly,20,25,,2649,,Major 1,Online,LA Guerillas M8,1-3,3,L,4,,0.96,,,0.80,599,562,1.01,1.19,1.14,1.07
Control,Vault,Carolina Royal Ravens,Vivid,18,22,,2875,,Major 1,Online,LA Guerillas M8,1-3,3,L,4,,1.01,,,0.82,530,557,1.03,0.65,0.94,0.95
Hardpoint,Skyline,LA Guerillas M8,Kismet,25,35,,3067,48,Major 1,Online,Carolina Royal Ravens,149-250,4,L,,,1.00,0.71,,,619,576,0.99,1.03,1.27,1.07
Hardpoint,Skyline,LA Guerillas M8,Lynz,22,29,,2752,45,Major 1,Online,Carolina Royal Ravens,149-250,4,L,,,0.92,0.76,,,605,577,1.07,1.00,1.02,1.05
Hardpoint,Skyline,LA Guerillas M8,Priestahh,19,27,,2775,36,Major 1,Online,Carolina Royal Ravens,149-250,4,L,,,0.82,0.70,,,520,538,0.99,0.83,0.96,0.97
Hardpoint,Skyline,LA Guerillas M8,Skyz,21,28,,2863,34,Major 1,Online,Carolina Royal Ravens,149-250,4,L,,,0.77,0.75,,,514,518,0.97,0.91,1.06,0.99
Hardpoint,Skyline,Carolina Royal Ravens,Gwinn,35,17,,3797,76,Major 1,Online,LA Guerillas M8,250-149,4,W,,,1.39,2.06,,,645,533,1.28,1.08,1.13,1.21
Hardpoint,Skyline,Carolina Royal Ravens,Slasher,35,27,,4520,37,Major 1,Online,LA Guerillas M8,250-149,4,W,,,1.20,1.30,,,552,531,1.11,1.05,0.90,1.04
Hardpoint,Skyline,Carolina Royal Ravens,TJHaly,25,24,,3224,34,Major 1,Online,LA Guerillas M8,250-149,4,W,,,0.96,1.04,,,599,562,1.01,1.19,1.14,1.07
Hardpoint,Skyline,Carolina Royal Ravens,Vivid,24,19,,2805,126,Major 1,Online,LA Guerillas M8,250-149,4,W,,,1.01,1.26,,,530,557,1.03,0.65,0.94,0.95
Hardpoint,Red Card,Optic Texas,Dashy,42,34,172,5057,,Major 1,Online,Vancouver Surge,227-250,1,L,,,1.33,1.24,,,621,557,1.12,1.21,1.07,1.11
Hardpoint,Red Card,Optic Texas,Huke,38,37,25,4446,,Major 1,Online,Vancouver Surge,227-250,1,L,,,1.13,1.03,,,463,386,1.24,1.25,1.09,1.20
Hardpoint,Red Card,Optic Texas,Kenny,28,41,14,3845,,Major 1,Online,Vancouver Surge,227-250,1,L,,,0.92,0.68,,,546,602,0.94,0.79,0.90,0.91
Hardpoint,Red Card,Optic Texas,Shotzzy,32,34,35,4150,,Major 1,Online,Vancouver Surge,227-250,1,L,,,1.41,0.94,,,673,534,1.32,1.14,1.20,1.26
Hardpoint,Red Card,Vancouver Surge,04,38,34,69,4612,,Major 1,Online,Optic Texas,250-227,1,W,,,0.84,1.12,,,659,643,1.00,1.05,1.08,1.02
Hardpoint,Red Card,Vancouver Surge,Abuzah,45,36,41,4946,,Major 1,Online,Optic Texas,250-227,1,W,,,1.05,1.25,,,607,639,0.94,0.73,1.13,0.95
Hardpoint,Red Card,Vancouver Surge,Hicksy,25,38,77,3487,,Major 1,Online,Optic Texas,250-227,1,W,,,0.62,0.66,,,573,670,0.80,1.05,0.90,0.86
Hardpoint,Red Card,Vancouver Surge,Nastie,37,32,78,4255,,Major 1,Online,Optic Texas,250-227,1,W,,,0.90,1.16,,,600,610,0.96,1.09,1.00,0.98
Search & Destroy,Red Card,Optic Texas,Dashy,9,2,,831,1,Major 1,Online,Vancouver Surge,6-1,2,W,7,,1.33,,4.50,,621,557,1.12,1.21,1.07,1.11
Search & Destroy,Red Card,Optic Texas,Huke,7,2,,897,0,Major 1,Online,Vancouver Surge,6-1,2,W,7,,1.13,,3.50,,463,386,1.24,1.25,1.09,1.20
Search & Destroy,Red Card,Optic Texas,Kenny,7,5,,968,4,Major 1,Online,Vancouver Surge,6-1,2,W,7,,0.92,,1.40,,546,602,0.94,0.79,0.90,0.91
Search & Destroy,Red Card,Optic Texas,Shotzzy,3,4,,430,0,Major 1,Online,Vancouver Surge,6-1,2,W,7,,1.41,,0.75,,673,534,1.32,1.14,1.20,1.26
Search & Destroy,Red Card,Vancouver Surge,04,1,7,,388,0,Major 1,Online,Optic Texas,1-6,2,L,7,,0.84,,0.14,,659,643,1.00,1.05,1.08,1.02
Search & Destroy,Red Card,Vancouver Surge,Abuzah,4,6,,689,1,Major 1,Online,Optic Texas,1-6,2,L,7,,1.05,,0.67,,607,639,0.94,0.73,1.13,0.95
Search & Destroy,Red Card,Vancouver Surge,Hicksy,4,7,,769,0,Major 1,Online,Optic Texas,1-6,2,L,7,,0.62,,0.57,,573,670,0.80,1.05,0.90,0.86
Search & Destroy,Red Card,Vancouver Surge,Nastie,4,6,,690,1,Major 1,Online,Optic Texas,1-6,2,L,7,,0.90,,0.67,,600,610,0.96,1.09,1.00,0.98
Control,Vault,Optic Texas,Dashy,23,19,,3531,,Major 1,Online,Vancouver Surge,3-1,3,W,4,,1.33,,,1.21,621,557,1.12,1.21,1.07,1.11
Control,Vault,Optic Texas,Huke,19,26,,2804,,Major 1,Online,Vancouver Surge,3-1,3,W,4,,1.13,,,0.73,463,386,1.24,1.25,1.09,1.20
Control,Vault,Optic Texas,Kenny,21,26,,2591,,Major 1,Online,Vancouver Surge,3-1,3,W,4,,0.92,,,0.81,546,602,0.94,0.79,0.90,0.91
Control,Vault,Optic Texas,Shotzzy,33,17,,3145,,Major 1,Online,Vancouver Surge,3-1,3,W,4,,1.41,,,1.94,673,534,1.32,1.14,1.20,1.26
Control,Vault,Vancouver Surge,04,25,22,,2592,,Major 1,Online,Optic Texas,1-3,3,L,4,,0.84,,,1.14,659,643,1.00,1.05,1.08,1.02
Control,Vault,Vancouver Surge,Abuzah,26,21,,3477,,Major 1,Online,Optic Texas,1-3,3,L,4,,1.05,,,1.24,607,639,0.94,0.73,1.13,0.95
Control,Vault,Vancouver Surge,Hicksy,15,29,,2322,,Major 1,Online,Optic Texas,1-3,3,L,4,,0.62,,,0.52,573,670,0.80,1.05,0.90,0.86
Control,Vault,Vancouver Surge,Nastie,22,24,,2889,,Major 1,Online,Optic Texas,1-3,3,L,4,,0.90,,,0.92,600,610,0.96,1.09,1.00,0.98
Hardpoint,Protocol,Optic Texas,Dashy,19,15,88,2641,,Major 1,Online,Vancouver Surge,250-109,4,W,,,1.33,1.27,,,621,557,1.12,1.21,1.07,1.11
Hardpoint,Protocol,Optic Texas,Huke,25,14,63,2796,,Major 1,Online,Vancouver Surge,250-109,4,W,,,1.13,1.79,,,463,386,1.24,1.25,1.09,1.20
Hardpoint,Protocol,Optic Texas,Kenny,24,15,87,2644,,Major 1,Online,Vancouver Surge,250-109,4,W,,,0.92,1.60,,,546,602,0.94,0.79,0.90,0.91
Hardpoint,Protocol,Optic Texas,Shotzzy,31,15,55,3167,,Major 1,Online,Vancouver Surge,250-109,4,W,,,1.41,2.07,,,673,534,1.32,1.14,1.20,1.26
Hardpoint,Protocol,Vancouver Surge,04,11,26,17,1888,,Major 1,Online,Optic Texas,109-250,4,L,,,0.84,0.42,,,659,643,1.00,1.05,1.08,1.02
Hardpoint,Protocol,Vancouver Surge,Abuzah,16,24,33,2182,,Major 1,Online,Optic Texas,109-250,4,L,,,1.05,0.67,,,607,639,0.94,0.73,1.13,0.95
Hardpoint,Protocol,Vancouver Surge,Hicksy,17,25,60,2421,,Major 1,Online,Optic Texas,109-250,4,L,,,0.62,0.68,,,573,670,0.80,1.05,0.90,0.86
Hardpoint,Protocol,Vancouver Surge,Nastie,15,25,10,2280,,Major 1,Online,Optic Texas,109-250,4,L,,,0.90,0.60,,,600,610,0.96,1.09,1.00,0.98
Hardpoint,Vault,Miami heretics,Lucky,24,29,85,3407,,Major 1,Online,Boston Breach,208-250,1,L,,,1.05,0.83,,,521,564,0.89,0.89,1.04,0.92
Hardpoint,Vault,Miami heretics,MettalZ,36,30,22,4183,,Major 1,Online,Boston Breach,208-250,1,L,,,0.98,1.20,,,557,595,0.92,0.80,1.05,0.94
Hardpoint,Vault,Miami heretics,Reeal,23,30,54,2865,,Major 1,Online,Boston Breach,208-250,1,L,,,1.00,0.77,,,591,564,1.05,1.07,1.02,1.05
Hardpoint,Vault,Miami heretics,Renkor,21,33,55,3438,,Major 1,Online,Boston Breach,208-250,1,L,,,1.12,0.64,,,587,584,1.05,0.92,0.95,1.01
Hardpoint,Vault,Boston Breach,Cammy,27,28,70,3566,,Major 1,Online,Miami heretics,250-208,1,W,,,0.80,0.96,,,538,560,1.01,0.80,0.92,0.96
Hardpoint,Vault,Boston Breach,Owakening,31,22,63,3281,,Major 1,Online,Miami heretics,250-208,1,W,,,1.19,1.41,,,537,553,0.98,0.91,0.98,0.97
Hardpoint,Vault,Boston Breach,Purj,32,29,35,4238,,Major 1,Online,Miami heretics,250-208,1,W,,,0.97,1.10,,,596,613,1.00,1.06,0.86,0.97
Hardpoint,Vault,Boston Breach,Snoopy,32,25,92,3885,,Major 1,Online,Miami heretics,250-208,1,W,,,0.94,1.28,,,628,595,1.12,1.14,0.84,1.06
Search & Destroy,Rewind,Miami heretics,Lucky,5,6,,836,0,Major 1,Online,Boston Breach,2-6,2,L,8,,1.05,,0.83,,521,564,0.89,0.89,1.04,0.92
Search & Destroy,Rewind,Miami heretics,MettalZ,5,7,,657,2,Major 1,Online,Boston Breach,2-6,2,L,8,,0.98,,0.71,,557,595,0.92,0.80,1.05,0.94
Search & Destroy,Rewind,Miami heretics,Reeal,4,7,,621,2,Major 1,Online,Boston Breach,2-6,2,L,8,,1.00,,0.57,,591,564,1.05,1.07,1.02,1.05
Search & Destroy,Rewind,Miami heretics,Renkor,8,7,,909,1,Major 1,Online,Boston Breach,2-6,2,L,8,,1.12,,1.14,,587,584,1.05,0.92,0.95,1.01
Search & Destroy,Rewind,Boston Breach,Cammy,8,5,,1080,0,Major 1,Online,Miami heretics,6-2,2,W,8,,0.80,,1.60,,538,560,1.01,0.80,0.92,0.96
Search & Destroy,Rewind,Boston Breach,Owakening,7,6,,1187,1,Major 1,Online,Miami heretics,6-2,2,W,8,,1.19,,1.17,,537,553,0.98,0.91,0.98,0.97
Search & Destroy,Rewind,Boston Breach,Purj,6,6,,986,1,Major 1,Online,Miami heretics,6-2,2,W,8,,0.97,,1.00,,596,613,1.00,1.06,0.86,0.97
Search & Destroy,Rewind,Boston Breach,Snoopy,6,5,,601,1,Major 1,Online,Miami heretics,6-2,2,W,8,,0.94,,1.20,,628,595,1.12,1.14,0.84,1.06
Control,Vault,Miami heretics,Lucky,21,17,,2342,,Major 1,Online,Boston Breach,3-1,3,W,4,,1.05,,,1.24,521,564,0.89,0.89,1.04,0.92
Control,Vault,Miami heretics,MettalZ,22,21,,3350,,Major 1,Online,Boston Breach,3-1,3,W,4,,0.98,,,1.05,557,595,0.92,0.80,1.05,0.94
Control,Vault,Miami heretics,Reeal,23,14,,2629,,Major 1,Online,Boston Breach,3-1,3,W,4,,1.00,,,1.64,591,564,1.05,1.07,1.02,1.05
Control,Vault,Miami heretics,Renkor,25,16,,3158,,Major 1,Online,Boston Breach,3-1,3,W,4,,1.12,,,1.56,587,584,1.05,0.92,0.95,1.01
Control,Vault,Boston Breach,Cammy,16,26,,2087,,Major 1,Online,Miami heretics,1-3,3,L,4,,0.80,,,0.62,538,560,1.01,0.80,0.92,0.96
Control,Vault,Boston Breach,Owakening,18,19,,2481,,Major 1,Online,Miami heretics,1-3,3,L,4,,1.19,,,0.95,537,553,0.98,0.91,0.98,0.97
Control,Vault,Boston Breach,Purj,22,22,,2746,,Major 1,Online,Miami heretics,1-3,3,L,4,,0.97,,,1.00,596,613,1.00,1.06,0.86,0.97
Control,Vault,Boston Breach,Snoopy,12,25,,2070,,Major 1,Online,Miami heretics,1-3,3,L,4,,0.94,,,0.48,628,595,1.12,1.14,0.84,1.06
Hardpoint,Red Card,Miami heretics,Lucky,30,23,52,3948,,Major 1,Online,Boston Breach,250-205,4,W,,,1.05,1.30,,,521,564,0.89,0.89,1.04,0.92
Hardpoint,Red Card,Miami heretics,MettalZ,26,28,75,3524,,Major 1,Online,Boston Breach,250-205,4,W,,,0.98,0.93,,,557,595,0.92,0.80,1.05,0.94
Hardpoint,Red Card,Miami heretics,Reeal,30,29,22,3481,,Major 1,Online,Boston Breach,250-205,4,W,,,1.00,1.03,,,591,564,1.05,1.07,1.02,1.05
Hardpoint,Red Card,Miami heretics,Renkor,34,23,111,4039,,Major 1,Online,Boston Breach,250-205,4,W,,,1.12,1.48,,,587,584,1.05,0.92,0.95,1.01
Hardpoint,Red Card,Boston Breach,Cammy,16,29,57,2402,,Major 1,Online,Miami heretics,205-250,4,L,,,0.80,0.55,,,538,560,1.01,0.80,0.92,0.96
Hardpoint,Red Card,Boston Breach,Owakening,33,29,27,4006,,Major 1,Online,Miami heretics,205-250,4,L,,,1.19,1.14,,,537,553,0.98,0.91,0.98,0.97
Hardpoint,Red Card,Boston Breach,Purj,25,31,54,3970,,Major 1,Online,Miami heretics,205-250,4,L,,,0.97,0.81,,,596,613,1.00,1.06,0.86,0.97
