mode,map,team,player,kills,deaths,hill time,damage,first blood,major  ,type,opponent,score,map number,W/L,rounds,,series k/d,hardpoint k/d,search & destroy k/d,control k/d,total kills,total deaths,all hardpoint k/d,all search & destroy k/d,all control k/d,overall k/d
Control,Vault,Los Angeles Thieves,Hydra,30,38,,3764,,Major 1,Online,Atlanta Faze,2-3,3,L,5,,1.07,,,0.79,659,607,1.17,0.73,1.08,1.09
Control,Vault,Los Angeles Thieves,Scrap,24,27,,3591,,Major 1,Online,Atlanta Faze,2-3,3,L,5,,0.95,,,0.89,640,565,1.08,1.41,1.15,1.13
Hardpoint,Rewind,Atlanta Faze,Abezy,26,28,101,3765,,Major 1,Online,Los Angeles Thieves,250-244,4,W,,,0.99,0.93,,,531,526,1.00,1.07,1.00,1.01
Hardpoint,Rewind,Atlanta Faze,Cellium,38,29,70,4491,,Major 1,Online,Los Angeles Thieves,250-244,4,W,,,0.97,1.31,,,532,463,1.12,1.28,1.15,1.15
Hardpoint,Rewind,Atlanta Faze,Drazah,32,32,23,3989,,Major 1,Online,Los Angeles Thieves,250-244,4,W,,,0.86,1.00,,,520,525,1.09,0.75,0.90,0.99
Hardpoint,Rewind,Atlanta Faze,Simp,31,28,77,3957,,Major 1,Online,Los Angeles Thieves,250-244,4,W,,,0.99,1.11,,,536,496,1.07,1.07,1.10,1.08
Hardpoint,Rewind,Los Angeles Thieves,Envoy,30,30,76,3525,,Major 1,Online,Atlanta Faze,244-250,4,L,,,1.15,1.00,,,589,590,0.99,0.97,1.02,1.00
Hardpoint,Rewind,Los Angeles Thieves,Ghosty,27,28,135,3759,,Major 1,Online,Atlanta Faze,244-250,4,L,,,1.05,0.96,,,578,562,1.01,0.94,1.12,1.03
Hardpoint,Rewind,Los Angeles Thieves,Hydra,32,33,47,3358,,Major 1,Online,Atlanta Faze,244-250,4,L,,,1.07,0.97,,,659,607,1.17,0.73,1.08,1.09
Hardpoint,Rewind,Los Angeles Thieves,Scrap,28,36,46,4429,,Major 1,Online,Atlanta Faze,244-250,4,L,,,0.95,0.78,,,640,565,1.08,1.41,1.15,1.13
Search & Destroy,Vault,Atlanta Faze,Abezy,5,7,,620,2,Major 1,Online,Los Angeles Thieves,4-6,5,L,10,,0.99,,0.71,,531,526,1.00,1.07,1.00,1.01
Search & Destroy,Vault,Atlanta Faze,Cellium,6,9,,1267,2,Major 1,Online,Los Angeles Thieves,4-6,5,L,10,,0.97,,0.67,,532,463,1.12,1.28,1.15,1.15
Search & Destroy,Vault,Atlanta Faze,Drazah,5,7,,672,1,Major 1,Online,Los Angeles Thieves,4-6,5,L,10,,0.86,,0.71,,520,525,1.09,0.75,0.90,0.99
